	source	context	monotonicity	operator	distractor operator	singular	mass	plural	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
40	MED	I can not do without x in my coffee.	up		not, without		x	x								
81	help-test-contexts	Tom felt that there was no x .	down	no		x	x									
27	MED	You know that some x must be taken when grandma reacts with the sad emoji.	up	some			x	x								
148	MED	I'm expecting a x.	up			x										
121	help-test-contexts	Boys dragging a x on the African plains.	up			x										
90	own	I ate some x for dinner.	up	some			x	x								
193	MED	She wiped a x from her cheek.	up			x										
37	MED	There are some x around Mt. Fuji.	up	some				x								
89	help-test-contexts	There are some old houses in this x .	up	some		x	x									
87	help-test-contexts	There is no access to the building from this x .	down	no		x	x									
139	MED	She bought him a x.	up			x										
162	MED	Some x think that advertising is a form of brainwashing.	up					x								
159	MED	x isn't good for a man of my age.	up	n't			x									
102	help-test-contexts	A couple of hikers cross a x	up			x										
14	MED	Few x are from southern Europe.	down	few				x								
22	MED	All x like to scratch their ears.	down	all				x								
179	MED	A x has no legs.	down			x										
206	MED	Tom wants to eat some x.	up				x	x								
57	help-test-contexts	There is no time to quarrel over such a x .	down	no		x	x									
128	help-test-contexts	A man can not find a x	down			x										
54	help-test-contexts	For all his x , he is unhappy .	down	all			x	x								
122	help-test-contexts	A boy is holding a x with trees in the background.	up			x										
205	MED	He had all the attributes of a x.	up			x										
71	help-test-contexts	There is no x without pain .	down	no		x										
41	MED	You can't live without x.	up		not, without		x	x								
106	help-test-contexts	A gentleman coming out of a x	up			x										
156	MED	This is only a temporary x.	up			x										
126	help-test-contexts	An Asian x with yellow sandals sitting with a basket to their right.	up			x										
86	help-test-contexts	There is no room for further improvement in this x .	down	no		x	x									
158	MED	Tom isn't very good at x.	down	n't			x	x								
112	help-test-contexts	A man is standing in a field looking at a x in his hand.	up			x										
117	help-test-contexts	A man in a gray collared shirt working on a x	up			x										
79	help-test-contexts	Dawn breaks , which is no x .	down	no		x	x									
163	MED	Some animals, such as lions, eat x.	up				x	x								
43	MED	x is no laughing matter.	up		no		x									
198	MED	Tom put some rice in a x.	up			x										
36	MED	The x gradually shifted to the left lane.	up			x	x	x								
55	help-test-contexts	The host showed off his rare stamps to all his x .	down	all			x	x								
3	MED	Some x finished the survey on time.	up	some		x		x								
118	help-test-contexts	A man holds up a x he just caught.	up			x										
160	MED	He has no interest in x.	down	no			x	x								
72	help-test-contexts	It is no x that she won the first prize .	down	no		x	x									
173	MED	If the x is nice tomorrow, we will have a picnic.	down			x	x									
194	MED	Tom was carrying some x.	up	some			x	x								
153	MED	A x proved her innocence.	up			x										
103	help-test-contexts	A group of men and women are singing a x	up			x										
88	help-test-contexts	I cry every time I listen to this x .	down	no		x	x									
11	MED	Most x can travel freely within Europe.	down	most				x								
12	MED	Most Europeans can travel freely within x.	down		most			x								
35	MED	I want to keep entertaining x.	down		don't		x	x								
178	MED	A x is no more a fish than a dog is.	up		no	x										
130	help-test-contexts	There is no rule without a x .	down			x										
1	MED	No x finished the report on time.	down	no		x										
171	MED	x doesn't interest me.	down	n't			x									
150	MED	She was clad in a x.	up			x										
104	help-test-contexts	Two women laughing at a x walking on the furniture.	up			x										
82	help-test-contexts	I was hungry but there was no x for me .	down	no		x	x									
42	MED	Every sentence in that x is important.	up		every	x	x									
147	MED	Tom is driving a x.	up			x										
26	MED	No bills made it to Abbottâ€™s x by the end of the legislative session in May.	down	no		x	x	x								
184	MED	A x spoke to me in the bus.	up			x										
63	help-test-contexts	His name is known to every x in this area .	down	every		x	x									
16	MED	Some x like to scratch their ears.	up	some				x								
